model,Computation_complete,Computation_instruct,Cryptography_complete,Cryptography_instruct,General_complete,General_instruct,Network_complete,Network_instruct,System_complete,System_instruct,Time_complete,Time_instruct,Visualization_complete,Visualization_instruct
GPT-4.1-Mini-2025-04-14,60.5,49.4,55.6,45.5,63.2,52.2,37.9,35.7,47.7,43.7,49.3,38.2,62.4,47.5
GPT-4o-2024-05-13,63.6,50.9,56.6,61.6,63.2,57.1,34.3,30.0,52.1,46.0,53.7,40.4,59.9,47.2
GPT-4o-2024-11-20,61.0,47.3,51.5,46.5,62.6,55.0,33.6,23.6,49.3,41.4,54.4,44.9,59.1,45.9
GPT-4o-mini-2024-07-18,59.4,45.7,59.6,45.5,60.8,51.1,27.1,23.6,49.8,43.0,47.1,40.4,57.1,42.4
Gemini-1.5-Flash-API-0514,56.8,43.1,55.6,49.5,56.7,46.9,25.0,16.4,50.0,43.5,47.8,35.3,52.0,39.8
Gemini-1.5-Pro-API-0514,58.6,43.8,65.7,49.5,58.2,45.9,34.3,21.4,50.2,40.4,50.0,35.3,56.1,40.6
Gemini-2.0-Flash-Exp,62.8,48.3,49.5,45.5,63.5,49.1,29.3,21.4,48.8,35.1,52.2,33.1,58.9,45.9
Gemini-Exp-1114,62.1,51.4,53.5,56.6,61.5,50.8,25.7,18.6,51.4,44.2,50.7,37.5,58.1,46.7
Gemini-Exp-1121,62.0,47.4,54.5,48.5,59.9,48.5,22.1,15.7,46.0,38.3,48.5,33.1,60.2,45.7
Gemini-Exp-1206,64.9,47.7,51.5,44.4,65.2,49.1,31.4,30.0,54.9,43.5,55.1,36.0,62.2,45.2
Gemma-2-27B-Instruct,54.5,43.3,55.6,40.4,53.1,45.2,26.4,20.0,48.6,41.4,45.6,36.8,47.7,39.1
Gemma-2-9B-Instruct,43.3,34.4,38.4,39.4,41.0,38.0,15.7,12.1,35.7,29.9,26.5,25.0,35.8,30.7
Granite-3.0-2B-Instruct,,18.9,,25.3,,22.1,,14.3,,18.7,,18.4,,15.0
Granite-3.0-8B-Instruct,32.9,28.0,38.4,37.4,41.3,32.8,22.9,12.9,32.2,29.2,30.9,19.9,27.7,20.6
Granite-Code-20B-Base,22.6,,35.4,,22.7,,32.1,,35.0,,27.9,,17.8,
Granite-Code-20B-Instruct,40.4,31.1,53.5,49.5,44.4,35.1,35.0,33.6,41.8,37.2,35.3,30.1,33.2,26.9
Granite-Code-34B-Base,36.5,,43.4,,38.7,,30.0,,39.9,,28.7,,30.2,
Granite-Code-34B-Instruct,42.8,35.3,56.6,45.5,46.2,39.8,37.1,31.4,44.2,32.5,36.0,30.9,37.3,30.7
Granite-Code-3B-Base,17.5,,32.3,,19.9,,18.6,,20.6,,18.4,,14.2,
Granite-Code-3B-Instruct,27.9,,35.4,,34.8,,22.1,,34.1,,29.4,,23.1,
Granite-Code-8B-Base,34.6,,39.4,,33.9,,26.4,,35.7,,31.6,,29.7,
Granite-Code-8B-Instruct,39.6,,41.4,,40.4,,27.9,,39.0,,27.9,,31.5,
Hermes-2-Pro-Llama-3-70B,56.1,37.9,60.6,35.4,55.3,40.5,32.1,20.0,48.6,33.2,41.2,23.5,49.7,32.7
Hermes-2-Theta-Llama-3-70B,58.2,44.2,55.6,50.5,54.7,48.3,28.6,25.0,50.5,45.1,49.3,35.3,53.3,43.4
InternLM2.5-7B-Chat,31.6,23.7,30.3,30.3,35.5,30.3,22.9,12.9,30.6,24.0,32.4,18.4,25.6,21.1
Llama-3-70B-Base,42.3,,56.6,,44.2,,30.0,,42.3,,38.2,,37.6,
Llama-3-70B-Instruct,56.0,41.9,51.5,47.5,55.1,46.2,27.1,22.1,49.7,43.0,46.3,37.5,53.8,40.4
Llama-3-70B-Synthia-v3.5,54.3,39.7,54.5,57.6,56.4,46.2,36.4,27.9,51.9,44.4,46.3,33.8,51.8,37.3
Llama-3-8B-Base,27.5,,32.3,,28.4,,25.0,,28.5,,25.7,,23.9,
Llama-3-8B-Instruct,35.7,29.9,48.5,37.4,41.0,34.2,22.1,17.9,35.8,32.9,27.2,28.7,31.2,24.9
Llama-3.1-70B-Instruct,56.7,45.5,60.6,57.6,53.8,47.3,31.4,28.6,49.5,43.9,46.3,36.8,53.6,44.9
Llama-3.1-8B-Instruct,39.3,32.4,49.5,35.4,43.3,34.2,31.4,21.4,39.7,32.2,37.5,30.9,33.2,29.9
Llama-3.1-Nemotron-70B-Instruct,51.1,39.1,42.4,44.4,49.2,40.3,25.7,24.3,38.6,36.4,39.7,27.2,50.8,37.3
Llama-3.2-1B-Instruct,9.8,6.4,9.1,10.1,15.7,12.7,5.0,5.0,11.0,7.9,4.4,2.9,6.6,3.6
Llama-3.2-3B-Instruct,29.2,20.9,25.3,20.2,30.4,28.9,15.7,13.6,26.0,22.2,18.4,13.2,21.1,16.2
Llama-3.3-70B-Instruct,59.4,46.3,56.6,53.5,59.2,49.1,31.4,30.0,49.8,44.1,48.5,41.9,53.8,43.1
Llama-4-Maverick,61.6,49.4,64.6,59.6,65.9,53.8,40.7,26.4,53.8,44.2,50.0,49.3,59.6,45.4
Llama-4-Scout,43.2,,42.4,,46.9,,23.6,,38.5,,33.8,,39.3,
Magicoder-S-DS-6.7B,45.7,33.4,54.5,47.5,51.1,40.1,31.4,28.6,49.1,37.1,41.2,33.1,39.6,29.2
Mistral-7B-Instruct-v0.3,27.0,17.5,29.3,22.2,28.4,21.9,10.7,11.4,26.2,20.3,26.5,18.4,24.6,16.0
Mistral-7B-v0.3,20.9,,30.3,,24.2,,18.6,,25.7,,24.3,,17.8,
Mistral-Large-2402,37.8,29.4,44.4,31.3,37.7,31.3,23.6,17.9,36.7,28.7,25.0,22.1,32.2,29.4
Mistral-Small-2402,40.4,31.4,43.4,31.3,42.3,34.5,24.3,23.6,41.1,28.0,37.5,25.7,35.0,29.4
Mistral-Small-24B-Instruct-2501,48.8,44.0,49.5,55.6,55.1,48.6,27.1,24.3,48.8,45.5,40.4,39.7,48.7,39.8
Mistral-Small-Instruct-2409,46.8,35.5,50.5,37.4,48.1,38.4,26.4,19.3,45.3,34.8,30.1,27.9,39.8,30.7
Mixtral-8x22B-Base,46.1,,49.5,,46.8,,25.0,,40.9,,39.0,,39.6,
Mixtral-8x22B-Instruct,48.5,39.2,52.5,41.4,50.6,44.2,35.7,27.9,49.5,40.6,48.5,31.6,47.7,36.8
Nxcode-CQ-7B-Orpo,43.7,38.8,49.5,55.6,48.1,42.7,30.0,25.0,41.6,36.9,39.0,26.5,39.1,33.0
OpenChat-3.6-8B-20240522,34.4,26.6,40.4,35.4,43.1,30.3,24.3,13.6,36.9,26.2,38.2,25.7,26.9,19.0
OpenCodeInterpreter-DS-1.3B,29.0,23.2,44.4,44.4,31.0,28.3,15.7,15.0,27.4,21.9,22.1,19.1,24.1,20.3
OpenCodeInterpreter-DS-33B,49.6,,55.6,,53.8,,35.7,,50.5,,45.6,,44.2,
OpenCodeInterpreter-DS-6.7B,44.2,35.7,48.5,44.4,44.9,37.5,28.6,20.7,46.7,39.0,38.2,39.7,36.3,31.2
OpenCoder-1.5B-Instruct,38.9,35.5,44.4,35.4,39.4,37.1,26.4,21.4,33.0,30.4,32.4,26.5,33.5,32.7
OpenCoder-8B-Instruct,50.9,42.8,59.6,51.5,49.5,44.7,30.0,27.9,46.5,44.2,46.3,30.9,48.0,37.3
Phi-3-Medium-128K-Instruct,48.4,34.2,50.5,53.5,51.2,43.7,30.7,20.0,45.8,38.6,42.6,29.4,40.4,29.4
